Country_Code,Country,Year,GHG_Without_LULUCF_kT_CO2e,GHG_Transport_kT_CO2e,Energy_Consumption_Transport_Pct,Real_GDP_Thousand_USD,Transport_Added_Value_Pct
AUS,Australia,2012,550595.5828,91787.07945,38.72,1212209250.0,5.226109082
AUS,Australia,2013,542518.8139,93134.217,38.81,1244610380.0,5.054436565
AUS,Australia,2014,534092.0433,93090.04185,38.79,1260654380.0,5.171627979
AUS,Australia,2015,543339.6983,95232.47638,39.3,1296141750.0,5.204082561
AUS,Australia,2016,551588.807,96225.86925,39.69,1361663250.0,5.074860612
AUS,Australia,2017,558300.3256,97849.43856,40.11,1378267120.0,4.975856814
AUS,Australia,2018,560030.8337,100145.6508,40.4,1424092120.0,4.902543475
AUS,Australia,2019,554209.0118,100204.3201,40.77,1402053250.0,4.77284337
AUS,Australia,2020,535775.956,93181.05901,39.18,1457431500.0,4.3970341
AUS,Australia,2021,527276.1338,90097.23857,37.8,1540819120.0,4.354934786
AUT,Austria,2012,79889.01,21732.56,29.38,503703440.0,5.621703063
AUT,Austria,2013,80309.9,22911.44,30.61,502935500.0,5.675997345
AUT,Austria,2014,76721.31,22225.89,31.51,506040440.0,5.750410144
AUT,Austria,2015,78934.65,22702.46,31.67,512751690.0,5.741329689
AUT,Austria,2016,79863.23,23553.92,31.45,523452780.0,5.720906929
AUT,Austria,2017,82195.35,24305.39,31.67,535310000.0,5.71629136
AUT,Austria,2018,78903.45,24422.58,32.42,548597500.0,5.578949245
AUT,Austria,2019,80058.25,24472.21,31.89,557585690.0,5.575211422
AUT,Austria,2020,74030.06,21156.11,29.37,521841940.0,5.2708397
AUT,Austria,2021,77359.77,21922.04,28.61,546171620.0,4.880660199
BEL,Belgium,2012,120467.9,25485.91,21.39,611705690.0,5.792051936
BEL,Belgium,2013,120564.3,24999.31,20.21,614429310.0,5.612717958
BEL,Belgium,2014,114873.0,25247.21,21.56,624398500.0,5.657271174
BEL,Belgium,2015,119108.1,26921.99,21.87,632298310.0,5.781066593
BEL,Belgium,2016,117528.2,26637.11,22.0,639685190.0,5.615048474
BEL,Belgium,2017,117035.1,26061.82,21.94,650089500.0,5.626837251
BEL,Belgium,2018,117769.7,26235.16,21.76,663392000.0,5.681889075
BEL,Belgium,2019,116679.9,25994.39,22.22,680173310.0,5.603808306
BEL,Belgium,2020,107420.5,21670.53,20.25,647547560.0,5.399611335
BEL,Belgium,2021,110195.9,23857.05,20.94,684852380.0,5.472465913
CAN,Canada,2012,716370.5,159856.58,31.04,1684937380.0,4.176018587
CAN,Canada,2013,723096.3,163700.7,31.5,1724126000.0,4.211444894
CAN,Canada,2014,720195.46,163298.01,31.18,1773668250.0,4.336657115
CAN,Canada,2015,722918.27,161491.25,31.22,1785196380.0,4.548920894
